,row,column,imputed_value
0,526,HomePlanet_Earth,0.0
1,526,HomePlanet_Europa,0.0
2,526,HomePlanet_Mars,1.0
3,3869,FoodCourt,4949.0
4,7598,VIP,0.0
5,6681,ShoppingMall,0.0
6,6797,VIP,0.0
7,8527,RoomService,1067.0
8,30,ShoppingMall,23492.0
9,2088,VRDeck,852.0
10,739,HomePlanet_Earth,0.0
11,739,HomePlanet_Europa,1.0
12,739,HomePlanet_Mars,0.0
13,6420,RoomService,1220.0
14,2079,Spa,0.0
15,2307,Cabin_num,1697
16,2307,Deck_A,0.0
17,2307,Deck_B,0.0
18,2307,Deck_C,0.0
19,2307,Deck_D,0.0
20,2307,Deck_E,0.0
21,2307,Deck_F,0.0
22,2307,Deck_G,1.0
23,2307,Deck_T,0.0
24,2307,Side_P,1.0
25,2307,Side_S,0.0
26,2549,VIP,0.0
27,1707,Age,37.0
28,1707,VIP,0.0
29,6801,Cabin_num,222
30,6801,Deck_A,0.0
31,6801,Deck_B,0.0
32,6801,Deck_C,0.0
33,6801,Deck_D,0.0
34,6801,Deck_E,1.0
35,6801,Deck_F,0.0
36,6801,Deck_G,0.0
37,6801,Deck_T,0.0
38,6801,Side_P,1.0
39,6801,Side_S,0.0
40,6835,Cabin_num,98
41,6835,Deck_A,0.0
42,6835,Deck_B,0.0
43,6835,Deck_C,1.0
44,6835,Deck_D,0.0
45,6835,Deck_E,0.0
46,6835,Deck_F,0.0
47,6835,Deck_G,0.0
48,6835,Deck_T,0.0
49,6835,Side_P,1.0
50,6835,Side_S,0.0
51,5232,VRDeck,0.0
52,2197,RoomService,1049.0
53,1968,Destination_55 Cancri e,0.0
54,1968,Destination_PSO J318.5-22,0.0
55,1968,Destination_TRAPPIST-1e,1.0
56,7302,ShoppingMall,1203.0
57,4562,VIP,0.0
58,1271,Age,53.0
59,6156,HomePlanet_Earth,0.0
60,6156,HomePlanet_Europa,1.0
61,6156,HomePlanet_Mars,0.0
62,1032,Age,22.0
63,5370,Destination_55 Cancri e,0.0
64,5370,Destination_PSO J318.5-22,0.0
65,5370,Destination_TRAPPIST-1e,1.0
66,4199,ShoppingMall,0.0
67,4199,VRDeck,480.0
68,5167,VRDeck,974.0
69,536,Age,32.0
70,536,VRDeck,0.0
71,7135,CryoSleep,0.0
72,1907,RoomService,0.0
73,3360,Destination_55 Cancri e,0.0
74,3360,Destination_PSO J318.5-22,0.0
75,3360,Destination_TRAPPIST-1e,1.0
76,2905,Cabin_num,874
77,2905,Deck_A,0.0
78,2905,Deck_B,0.0
79,2905,Deck_C,0.0
80,2905,Deck_D,0.0
81,2905,Deck_E,0.0
82,2905,Deck_F,1.0
83,2905,Deck_G,0.0
84,2905,Deck_T,0.0
85,2905,Side_P,1.0
86,2905,Side_S,0.0
87,6738,VIP,0.0
88,5803,ShoppingMall,0.0
89,7422,ShoppingMall,0.0
90,5210,VIP,0.0
91,5210,HomePlanet_Earth,1.0
92,5210,HomePlanet_Europa,0.0
93,5210,HomePlanet_Mars,0.0
94,5210,Destination_55 Cancri e,0.0
95,5210,Destination_PSO J318.5-22,0.0
96,5210,Destination_TRAPPIST-1e,1.0
97,1560,Destination_55 Cancri e,0.0
98,1560,Destination_PSO J318.5-22,0.0
99,1560,Destination_TRAPPIST-1e,1.0
100,8395,FoodCourt,0.0
101,6785,CryoSleep,0.0
102,951,Cabin_num,130
103,951,Deck_A,0.0
104,951,Deck_B,0.0
105,951,Deck_C,0.0
106,951,Deck_D,0.0
107,951,Deck_E,0.0
108,951,Deck_F,1.0
109,951,Deck_G,0.0
110,951,Deck_T,0.0
111,951,Side_P,1.0
112,951,Side_S,0.0
113,5030,Destination_55 Cancri e,0.0
114,5030,Destination_PSO J318.5-22,0.0
115,5030,Destination_TRAPPIST-1e,1.0
116,7382,Cabin_num,96
117,7382,Deck_A,0.0
118,7382,Deck_B,0.0
119,7382,Deck_C,0.0
120,7382,Deck_D,0.0
121,7382,Deck_E,0.0
122,7382,Deck_F,0.0
123,7382,Deck_G,1.0
124,7382,Deck_T,0.0
125,7382,Side_P,0.0
126,7382,Side_S,1.0
127,3505,HomePlanet_Earth,1.0
128,3505,HomePlanet_Europa,0.0
129,3505,HomePlanet_Mars,0.0
130,1181,FoodCourt,0.0
131,2959,ShoppingMall,1935.0
132,8613,RoomService,688.0
133,8613,ShoppingMall,1387.0
134,2714,Destination_55 Cancri e,0.0
135,2714,Destination_PSO J318.5-22,0.0
136,2714,Destination_TRAPPIST-1e,1.0
137,7478,ShoppingMall,1213.0
138,683,CryoSleep,0.0
139,4745,ShoppingMall,0.0
140,6977,FoodCourt,4323.0
141,6922,Spa,0.0
142,6922,VRDeck,0.0
143,4121,Cabin_num,613
144,4121,Deck_A,0.0
145,4121,Deck_B,0.0
146,4121,Deck_C,0.0
147,4121,Deck_D,0.0
148,4121,Deck_E,0.0
149,4121,Deck_F,0.0
150,4121,Deck_G,1.0
151,4121,Deck_T,0.0
152,4121,Side_P,1.0
153,4121,Side_S,0.0
154,3234,CryoSleep,1.0
155,3234,FoodCourt,3149.0
156,3624,CryoSleep,1.0
157,3624,HomePlanet_Earth,0.0
158,3624,HomePlanet_Europa,1.0
159,3624,HomePlanet_Mars,0.0
160,7099,ShoppingMall,783.0
161,6603,VIP,0.0
162,6603,Cabin_num,159
163,6603,Deck_A,0.0
164,6603,Deck_B,0.0
165,6603,Deck_C,0.0
166,6603,Deck_D,1.0
167,6603,Deck_E,0.0
168,6603,Deck_F,0.0
169,6603,Deck_G,0.0
170,6603,Deck_T,0.0
171,6603,Side_P,0.0
172,6603,Side_S,1.0
173,4654,VRDeck,0.0
174,6171,Age,28.0
175,6171,HomePlanet_Earth,0.0
176,6171,HomePlanet_Europa,1.0
177,6171,HomePlanet_Mars,0.0
178,3232,ShoppingMall,459.0
179,2655,ShoppingMall,0.0
180,2200,Spa,0.0
181,688,ShoppingMall,268.0
182,688,Destination_55 Cancri e,0.0
183,688,Destination_PSO J318.5-22,0.0
184,688,Destination_TRAPPIST-1e,1.0
185,5705,Destination_55 Cancri e,0.0
186,5705,Destination_PSO J318.5-22,0.0
187,5705,Destination_TRAPPIST-1e,1.0
188,8668,VIP,0.0
189,8668,HomePlanet_Earth,1.0
190,8668,HomePlanet_Europa,0.0
191,8668,HomePlanet_Mars,0.0
192,5335,Age,36.0
193,5272,CryoSleep,0.0
194,5728,CryoSleep,1.0
195,628,CryoSleep,1.0
196,4272,CryoSleep,1.0
197,7544,RoomService,0.0
198,7684,Age,55.0
199,7684,VRDeck,0.0
200,7684,HomePlanet_Earth,0.0
201,7684,HomePlanet_Europa,1.0
202,7684,HomePlanet_Mars,0.0
203,5845,FoodCourt,0.0
204,2830,Cabin_num,249
205,2830,Deck_A,0.0
206,2830,Deck_B,0.0
207,2830,Deck_C,1.0
208,2830,Deck_D,0.0
209,2830,Deck_E,0.0
210,2830,Deck_F,0.0
211,2830,Deck_G,0.0
212,2830,Deck_T,0.0
213,2830,Side_P,0.0
214,2830,Side_S,1.0
215,1867,VIP,0.0
216,5951,VIP,0.0
217,4000,CryoSleep,0.0
218,3171,RoomService,0.0
219,5886,VRDeck,0.0
220,4052,Destination_55 Cancri e,0.0
221,4052,Destination_PSO J318.5-22,0.0
222,4052,Destination_TRAPPIST-1e,1.0
223,3454,Spa,689.0
224,8585,ShoppingMall,0.0
225,8197,Destination_55 Cancri e,0.0
226,8197,Destination_PSO J318.5-22,0.0
227,8197,Destination_TRAPPIST-1e,1.0
228,1878,VIP,0.0
229,3372,HomePlanet_Earth,1.0
230,3372,HomePlanet_Europa,0.0
231,3372,HomePlanet_Mars,0.0
232,6881,CryoSleep,0.0
233,6193,Age,27.0
234,2511,Age,27.0
235,4591,Spa,0.0
